,Station Name,Station ID,Number of Customers,Average Trip Duration (min),Latitude,Longitude,Year
173,Fulton St & Waverly Ave,384.0,7825,985.8236421725239,40.683178130007484,-73.96596409998735,2014
174,Fulton St & William St,316.0,20018,881.7285942651614,40.709559579991804,-74.00653609002846,2014
175,Gallatin Pl & Livingston St,218.0,3920,895.0576530612245,40.69028436999914,-73.98707105000271,2014
176,Grand Army Plaza & Central Park S,281.0,42058,1546.376052118503,40.76439710002279,-73.97371465002281,2014
177,Grand St & Greene St,2010.0,22778,889.0259899903416,40.72165481000945,-74.00234736997906,2014
178,Grand St & Havemeyer St,471.0,6570,1384.9091324200913,40.71286843999633,-73.95698119000285,2014
179,Great Jones St,229.0,40917,689.2649754380819,40.72743423002243,-73.99379024995912,2014
180,Greenwich Ave & 8 Ave,284.0,55650,779.4656424079066,40.7390169121185,-74.002637610305,2014
181,Greenwich Ave & Charles St,383.0,28529,768.2570366994987,40.73523800002618,-74.00027099997895,2014
182,Greenwich St & N Moore St,329.0,31745,834.9420381162388,40.7204341099899,-74.0102060900157,2014
183,Greenwich St & Warren St,147.0,40880,857.3467465753424,40.71542197000229,-74.01121977996888,2014
184,Hancock St & Bedford Ave,436.0,3691,1088.9460850717962,40.68216563999901,-73.95399025999647,2014
185,Hanover Pl & Livingston St,431.0,1975,998.8921518987341,40.68864635999969,-73.98263429000244,2014
186,Harrison St & Hudson St,249.0,12625,870.3312475247525,40.71870987000591,-74.00900089999327,2014
187,Henry St & Atlantic Ave,157.0,10752,965.4789806547619,40.690892720008634,-73.99612349000917,2014
188,Henry St & Grand St,502.0,21476,754.9567889737381,40.714215000015265,-73.98134599998714,2014
189,Henry St & Poplar St,407.0,6399,1156.6847944991405,40.700469000002634,-73.99145400000249,2014
190,Hicks St & Montague St,406.0,12090,939.0783291976841,40.695128449996275,-73.99595064998579,2014
191,Howard St & Centre St,268.0,26087,849.5048874918542,40.719105369995425,-73.99973337001843,2014
192,Hudson St & Reade St,146.0,19336,772.6356537029375,40.716250080003675,-74.00910590000447,2014
193,Jay St & Tech Pl,392.0,11440,1075.1873251748252,40.69506499999342,-73.98716699998948,2014
194,John St & William St,376.0,17809,875.2202818799483,40.70862143999179,-74.00722155999428,2014
195,Johnson St & Gold St,261.0,8807,849.9394799591234,40.69474881000578,-73.98362463999995,2014
196,Joralemon St & Adams St,233.0,15947,870.6149118956544,40.692462769999494,-73.98963911001077,2014
197,Kent Ave & S 11 St,282.0,4921,2629.5425726478356,40.708272949997955,-73.96834100999844,2014
198,LaGuardia Pl & W 3 St,161.0,36971,733.0107381461145,40.72917025000692,-73.99810231006902,2014
199,Lafayette Ave & Classon Ave,364.0,4549,850.9940646295889,40.6890044299968,-73.96023854000282,2014
200,Lafayette Ave & Fort Greene Pl,274.0,7925,923.5964668769716,40.68691864999745,-73.97668199998918,2014
